Accession Number,Author,Title,Publisher,Year,Branch,Subject,Shelf,Stack
002791,"Moore, Geoffrey A ",Crossing The Chasm,Harper Collins Publisher  ,2002,I.T.,Management,GENERAL,21
002792,"Hancock, Mark ",English Pronuciation in Use ,Cambridge University Press ,2003,I.T.,English,GENERAL,10
002795,"Murphy, Raymond ",English Grammer ,Cambridge University Press ,2004,I.T.,English,GENERAL,10
002796,"Murphy, Raymond ",Murphy's English Grammer,Cambridge University Press,2004,I.T.,English,GENERAL,10
002797,"McCarthy, Michael ",English Phrasal Verbs in Use ,Cambridge University Press,2004,I.T.,English,GENERAL,10
002800,"McCarthy, Michael ",English Idioms in Use ,Cambridge University Press ,2002,I.T.,English,GENERAL,10
002803,CamBridge ,BEC Preliminary ,Cambridge University Press,2002,I.T.,Management,GENERAL,21
"002805	Churchill, Gilbert 	Marketing : Creating Value for Customers 	McGraw Hill Publishing Company Ltd ",,,,1998,Management,Management,GENERAL,21
002806,"Schiller, Jochen H ",Mobile Communications ,Pearson Education,2003,E & TC,Mobile Communication,G,9
002807,"Jurafsky, Daniel and Martin, James H.",Speech and Language Processing ,Pearson Education,2000,I.T.,Language Processing,E,7
002808,"Garg, Vijay & Wilkes, Joseph E ",Principles and Application of GSM ,Pearson Education,1999,E & TC,Mobile Communication,G,9
002809,"Das, Gurucharan ",India Unbound ,Penguin Books ,2001,I.T.,Management,GENERAL,21
002810,"Wilmott, Paul ",Introduction Quantitative Finance ,John Wiley & Sons,2002,Management,Management,GENERAL,21
002811,"Bhat, Bimal ",Wisdom of Indian Business Leadership ,English Edition ,2005,I.T.,Management,GENERAL,21
002812,"Munter, Mary ",Guide to Managerial Communication : Effective Business Writing and Speaking ,Prentice Hall,2006,I.T.,Communication,G,9
002813,"Bailley, Edward P `",Writing and Speaking at Work : A Practical Guide for Business Communication ,Pearson Education,2004,I.T.,Communication,G,9
002814,"Friedman, Thomas ",World is Flat : A Brief History of The Globalized World in the 21st Century,Penguin Books ,2005,I.T.,Management,GENERAL,21
002815,"Kozicki, Stephen",Persuasive Presenter ,Tata McGraw-Hill Publishing Company Limited ,2005,I.T.,Management,GENERAL,21
002816,"Levitt, Stevan D ",Freakonomics,Penguin Books ,2005,Management,Management,GENERAL,21
002819,Boone Louis E ,Contemporary Business ,Thomson Learning ,2005,Management,Management,GENERAL,21
002821,"Nasar, Sylvia ",Beautiful Mind : The Life of Mathematical Genius and Nobel Laureate John Nash,Touch Stone Book ,1998,I.T.,Management,GENERAL,21
002822,Perseus Publication ,Business : The Ultimate Resource,Perseus Publication ,2002,I.T.,Management,GENERAL,21
002823,"Kriegel, Robert J ",How to Succed in Business without working so damn Hard ,Warner Books ,2002,I.T.,Management,GENERAL,21
002824,"Welch, Jack",Straight From the Gut,Warner Books ,2001,I.T.,Management,GENERAL,21
002825,"Chenoweth, Neil ",Rupert Murdoch : The Untold Story of The World's Greatest Media Wizard,Crown Business ,2001,I.T.,Management,GENERAL,21
002827,"Burns, Kevin",TCP/IP Analysis and Troubleshooting Toolkit,Wiley Dreamtech India (P) Ltd,2003,E & TC,Networking,C,23
002829,Willam. Stallings ,ISDN and Broadband ISDN with Frame Relay and ATM ,Pearson Education,1999,E & TC,Networking,C,23
002832,Cisco Systems ,CCNP 1: Advanced Routing  Companion Guide ,Pearson Education,2005,E & TC,Networking,C,23
002835,"Smith, Howard",Business Process Manafement the third wave ,Meghan Kiffer Press ,2003,Management,Management,GENERAL,21
002836,"Louis, P.J ",Telecom Management Crash Source ,Macmillan India Ltd.,2002,E & TC,Management,GENERAL,21
002837,"Press, William H. and Teukolsky, Saul A.",Numerical Recipes in C : The Art of Scientific Computing ,Cambridge University Press / Foundation Books ,1992,Computer,C Programming,E,4
002839,"Greer, Charles R.",Strategic Human Resources Management : A General Managerial Approach,Pearson Education,2002,Management,Management,GENERAL,21
002841,"Rappaport, Thedore S ",Wireless Communication : Principle and Practice ,Prentice Hall of India ,2005,E & TC,Wireless Communication,C,11
002842,"DeMarco, Tom",Structure Analysis and System Specifcation,Yourdon Press,1979,E & TC,Data Structures,E,13
002844,"Ranadive, Vivek `",Power of Now ,Tata McGraw-Hill Publishing Company Limited ,1999,I.T.,Self Help,GENERAL,11
002845,"Schiller, Jochen H ",Mobile Communications ,Pearson Education,2003,E & TC,Mobile Communication,G,9
002848,"Bossidy, Larry ",Excecution: The Discipline of Getting Things Done ,Crown Business ,2004,Management,Crown Business ,GENERAL,21
002849,"Marn, Michael V & Roegner, Eric V ",Price Advantage ,John Wiley & Sons,2006,I.T.,Management,GENERAL,21
002850,"Fadia, Ankit ",Unofficial Guide to Ethical Hacking ,Macmillan India Ltd.,2005,Computer,Hacking,G,41
002851,"Patterson, David A. and Hennessy, John L.",Computer Organization and Design: The hardware/ Software Interface ,Morgan Kaufmann Publishers ,2005,Computer,Computer Organization,D,16
002852,"Backman, Machael ",Big in Asia ,Palgrave Macmillan ,2003,I.T.,Management,GENERAL,21
002853,"Haikio, Martti",Nokia : The inside Story ,Pearson Education,2002,I.T.,Management,GENERAL,21
002854,"Tiwana, Amrit ","Knowledge Management Toolkit : Orchestrating IT, Strategy and Knowledge platfarms",Pearson Education,2002,Management,Management,GENERAL,21
002855,"Dowling,Peter; welch, Denice",International Human Resource,Thomson Learning ,2004,Management,Management,GENERAL,21
002857,ICFAI ,Case Studies in Information Technology and System Vol - 1,ICFAI University Press ,2005,Management,Information Technology,GENERAL,21
002858,"Devi, Mita ",Information Security : Global Perspectives ,ICFAI University Press ,2005,I.T.,Information Security,G,41
002859,"Krishna, Jaya S ",ERP : New Insights ,ICFAI University Press ,2004,Management,Enterprise Resource Planning,G,4
002860,"Devi, Mita ",Information Security Management : An Introdution ,ICFAI University Press ,2005,I.T.,Information Security,G,41
002861,"DeSilva, Amandia ",Credit Derivatives Effective Credit Risk management Tool ,ICFAI University Press ,2005,Management,Management,GENERAL,21
002862,"Narender, Vunyale and Amalraj, Hilda ","Proceedings of the International Conference, 2004 on Business & Finance: Banking, Insurance and Financial Services : Vol - 1",ICFAI University Press,2005,Management,Management,GENERAL,21
002864,"Taher, Nasreen",Dynamics of Change Management ,ICFAI University Press ,2005,Management,Management,GENERAL,21
002866,"Reddy, Sumati ",Employee Recruitment Best Practices and Applications ,ICFAI University Press ,2005,Management,Management,GENERAL,21
002868,"Prasad, R ",Change Management: concepts and change ,ICFAI University Press ,2005,Management,Management,GENERAL,21
002870,"Mantravadi, Pramod M.",E-Finance ,ICFAI University Press ,2005,Management,Management,GENERAL,21
002874,"Weitime, kent ",Building Brand and Belivers ,John Wiley & Sons,2002,I.T.,Management,GENERAL,21
002875,"Huang, Jianrong ",Dynamics of China's Rejuvenation ,Palgrave Macmillan ,2004,I.T.,Management,GENERAL,21
002876,"Schmidt, Klaus, and Ludlow, Chris",Inclusive Branding ,Palgrave Macmillan ,2002,Management,Management,GENERAL,21
002877,"Gregory, James R",Branding : Across Borders,McGraw Hill Publishing Company Ltd ,2002,Management,Management,GENERAL,21
002878,"Dibachi, Farzad and Dibachi, Rhonda",Just Add Management,McGraw Hill Publishing Company Ltd ,2003,Management,Management,GENERAL,21
002879,"Salacuse, Jeswald W ",Global Negotiatior ,Macmillan India Ltd.,2003,I.T.,Management,GENERAL,21
002880,"Devi, Mita ",Information Security Management : An Introduction ,The ICFAI University Press,2005,I.T.,Information Security,G,41
002885,"Mrudula, E ",Microfinance institutions Concepts and Experience ,ICFAI University Press ,2005,Management,Management,GENERAL,21
002886,"Reddy, Sumati",Effective Recruitment : Concepts and Cases,The ICFAI University Press,2005,Management,Management,GENERAL,21
002890,"Frank, Robert H ",Principles of Economics ,Tata McGraw-Hill Publishing Company Limited ,2007,Management,Management,GENERAL,21
002892,"Diestefano, Joseph J ",Theory and Problems of feedback and Control Systems ,McGraw Hill Publishing Company Ltd ,1995,E & TC,Management,GENERAL,21
002893,"Lovelock, Chistopher ","Services Marketing : People, Technology, Strategy ",Pearson Education,2004,Management,Management,GENERAL,21
002895,"Christopher, Martin ",Logistics and Supply Chain Management ,Pearson Education,2006,Management,Management,GENERAL,21
002898,"Bayross, Ivan","SQL, PL/SQL: The Programming Language of Oracle",BPB Publications ,2005,Computer,Programming Language,E,4
002899,"Blanchard, Benjamin S.",Logistics Engineering and Management ,Pearson Education,2004,Management,Management,GENERAL,21
002901,"Mitra, Amitava ",Fundamentals of Quality Control and Improvement ,Pearson Education,2006,Management,Management,GENERAL,21
002904,"Thomas, Christopher R ",Managerial Economics : Concepts and Applicationa ,Tata McGraw-Hill Publishing Company Limited ,2006,Management,Management,GENERAL,21
002906,"Chandra, Prasanna",Financial Management: Theory and Practice,Tata McGraw-Hill Publishing Company Limited ,2004,Management,Management,GENERAL,21
002907,"Porter, Michael E. ",Competitive Advantage ,Free Press ,2004,I.T.,Management,GENERAL,21
002908,"Porter, Michael E ",Competitive Strategy : Techniques for Analyzing Industries and Competitiors ,Free Press ,2004,I.T.,Management,GENERAL,21
002910,"Bodie, Zvi ",Investment ,Tata McGraw-Hill Publishing Company Limited ,2006,Management,Management,GENERAL,21
002911,"Lewis, William W.","Power of Productivity: Wealth, Poverty, and The Threat to Global Stability",The University of Chicago Press,2005,Management,Management,GENERAL,21
002912,"Ross, Stephen A ; Westerfield, Randolph W. and Jaffe, Jeffrey",Corporate Finance ,Tata McGraw-Hill Publishing Company Limited ,2004,Management,Management,GENERAL,21
002913,"Horne, James C ",Fundamentals of Financial Management,Prentice Hall of India ,2005,Management,Management,GENERAL,21
002914,"Prabhu, C S R and Reddi, A Prathap",Bluetooth Technology and Its Applications with Java and J2ME,Prentice Hall of India,2005,Computer,Information Technology,F,1
002918,"Fernando, A C ","Corporate Governance : Principles, Policies and Practices ",Pearson Education,2006,Management,Management,GENERAL,21
002919,"Ross, Stephen A ; Westerfield, Randolph W. and Jaffe, Jeffrey",Corporate Finance,Tata McGraw-Hill Publishing Company Limited ,2004,Management,Management,GENERAL,21
002920,"Lafore, Robert ",Object Oriented Programming in C++ ,Techmedia ,2002,Computer,C Programming,E,4
002922,"Jhamb, L.C ",Production (Operation ) Management ,Everest Publishing House ,2006,Management,Management,GENERAL,21
002923,"Belasco, James A and Stead Jerre",Soaring with the Phoenix,Warner Books ,1999,I.T.,Management,GENERAL,21
002927,"Chorafas, Dimitris N `",Management of Equity Investment ,Butterworth - Heinemann ,2006,Management,Management,GENERAL,21
002928,Global data Services of India Ltd,Accounting and Analysis; The Indian Experience University version,Global Data Services of India Ltd,2006,Management,Management,GENERAL,21
002931,"Drury, Colin ",Management and Cost Accounting ,Thomson Learning ,2004,Management,Management,GENERAL,21
002936,"Charan, Ram ",Know - How : The 8 Skills that Separate People who Perform from those who Don't,Crown Business ,2007,Management,Management,GENERAL,21
002937,"Po-Chedley, David A", Client Relationship Management ,Jaico Publishing House ,2007,Management,Management,GENERAL,21
002938,"Hayes- Mccoy, Robert ",Direct Marketing ,Jaico Publishing House ,2006,Management,Management,GENERAL,21
002939,"Bhattacharya,Dipak ",Human Resource Management ,Excel Books ,2006,Management,Management,GENERAL,21
002941,"Mohanty, R.P ",Handbook of Total Quality Managemet ,Jaico Publishing House ,2006,Management,Management,GENERAL,21
002942,"Krajewski, Lee J. nad Ritzman, Larry P.",Operations Management : Processes and Value Chains ,Pearson Education,2005,Management,Management,GENERAL,21
002945,Cherunilam Francis,International Marketing ,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002946,"Jha, S",Marketing Non profit Organizations,Himalaya Publishing House ,2004,Management,Management,GENERAL,21
002947,"Bhattacharya, K. M.",Risk Management in Indian Banks,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002948,"Gordon, E. and Natarajan, K.","Banking : Theory, Law and Practice",Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002949,"Pradhan, Homai and Pradhan, N S ",Business Communication,Himalaya Publishing House ,2005,I.T.,Communication,G,9
002950,"Rao, S R K Babu",Business Communication and Report Writing ,Himalaya Publishing House ,2003,I.T.,Communication,G,9
002951,"Rai, Urmila",Oral Business Communication,Himalaya Publishing House ,2003,I.T.,Communication,G,9
002952,"Ray, Reuben",Communication Today,Himalaya Publishing House ,1997,I.T.,Communication,G,9
002953,"Gokhale, Sunil",Essentials in Technical Communication,Himalaya Publishing House ,2004,E & TC,Communication,C,4
002954,"Sadri, Sorab",Case Studies Apprach to Human Resources Management ,Himalaya Publishing House ,2005,Management,Management,GENERAL,21
002955,"Kamat, Minouti and Krishnamoorthy, R.",Text Book on Rural Marketing ,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002956,"Reddy, Rathan B.",Effective Human Resource Training and Development Strategy,Himalaya Publishing House ,2007,Management,Management,GENERAL,21
002957,Gupta P.K,Human Resource Information Systems,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002958,"Desai, Vasant ",Project Management ,Himalaya Publishing House ,2004,Management,Management,GENERAL,21
002959,"Desai, Vasant and Rai, Urmila",Enterpreneurship Development and Business Communication,Himalaya Publishing House ,2004,Management,Management,GENERAL,21
002960,"Banerjee, R P ",Ethics in Business and Management,Himalaya Publishing House ,2001,Management,Management,GENERAL,21
002961,"Pattanayak, Biswajeet",Organisation Development Skills for Competitive Edge,Himalaya Publishing House ,2000,Management,Management,GENERAL,21
002962,"Kalia, H.L & ravishankar. S ",Organisational Dynamics and HR Processes Emerging Trends ,Himalaya Publishing House ,2004,Management,Management,GENERAL,21
002963,"Raj, Rituparna",Study in Business Ethics ,Himalaya Publishing House ,1999,Management,Management,GENERAL,21
002964,"Kumar, Vipan ",Organizational Behavior,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002966,"Bhattacharya.,K.M ",Basic of Banking and Finance ,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002967,"Desai, Vasant",Banks and Institutional Mangement ,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002968,"Bal, Anand S.",Introduction to Environmental Management,Himalaya Publishing House ,2005,Management,Management,GENERAL,21
002969,"Baporikar, Neeta ",Case Method: Cases in Management ,Himalaya Publishing House ,2005,Management,Management,GENERAL,21
002971,"Chakrabarti, Tapas Kumar",Financial Market & The Structure of Interest Rates in India,Himalaya Publishing House ,2004,Management,Management,GENERAL,21
002972,"Suguna, V. , Krishna, G Rama and Moss, A G",Economic Reforms in India: Retrospect and Prospect,Himalaya Publishing House ,2003,Management,Management,GENERAL,21
002973,"Correa, Romer and Burance, L G. ","Reforms, Institutions and Policies: Challenges Confronting the Indian Economy",Himalaya Publishing House ,2004,Management,Management,GENERAL,21
002974,"Mungekar, Bhalchandra L. and Nachane, Dilip M.",Indian Economy in the New Millennium,Himalaya Publishing House ,2001,Management,Management,GENERAL,21
002975,"Padwal, S M",Transformation of Indian Banks with Information Technology,Himalaya Publishing House ,2004,Management,Management,GENERAL,21
002976,"Cherunilam, Francis ",Business Environment : Text and Cases,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002977,"Mitra, S.K ",Economics for Management Text and Cases,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002978,"Mehta, B.C ",Fundamentals of Econometrics ,Himalaya Publishing House ,2005,Management,Management,GENERAL,21
002979,"Gupta, Kunal ",English for Competitive Exams ,Himalaya Publishing House ,2005,Management,English,,
002980,"Misra, S K and Puri, V K ",Indian Economy ,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
002981,"Altekar, Rahul V ",Enterprise Resource Planning : Theory and Practice ,Prentice Hall of India ,2005,Management,Enterprise Resource Planning,G,4
002985,"Russell, Robetra ",Operations Management,Pearson Education,2003,Management,Management,GENERAL,21
002986,"Robbins, Stephen P.",Fundamentals of Management ,Pearson Education,2005,Management,Management,GENERAL,21
002987,"Neamen, Donald A.",Semiconductor Physics and Devices ,Tata McGraw-Hill Publishing Company Limited ,2007,Applied Science & Engineering,Physics,H,13
002990,"Kelkar, S.A ",Information Technology Project management ;A Conise Study ,Prentice Hall of India,2005,Management,Information Technology,GENERAL,21
002991,"Viswanathan, Thiagarajan",Telecommunication Switching Systems and Networks ,Prentice Hall of India,2006,E & TC,Telecommunication,B,19
002992,"Jaiswal, mahadeo ",Textbook of Enterprise Resource Planning ,Macmillan India Ltd.,2005,Management,Enterprise Resource Planning,G,4
003000,"Armstrong, Michael and Baron, Angela ",Handbook of Strategic HRM,Jaico Publishing House ,,Management,Management,GENERAL,21
003001,"Bhattacharya, Dipak ",human Resource Planning ,Excel Books ,2002,Management,Management,GENERAL,21
003002,"Crowther, David",Managing Finance: A Socially Responcible Approach,Butterworth - Heinemann ,2004,Management,Management,GENERAL,21
003003,"Mead, Richard ",International Management  : Cross cultural Dimensions ,Blackwell Publishing ,2005,Management,Management,GENERAL,21
003004,"Swan, Jonathan ",Practical Financial Modelling : A Guide to Current Practice ,CIMA Publishing ,2005,Management,Management,GENERAL,21
003005,"Farris, Paul W. ; Bendle, Neil T.; Pfeifer, Phillip E. and Reibstein, David J.",Marketing Metrics: 50+ Metrics Every Executive Should Master,Pearson Education,2006,Management,Management,GENERAL,21
003006,"Galician, Mary - Lou",handbook of Product Placement in the mass Media,Jaico Publishing House ,2006,Management,Management,GENERAL,21
003007,"Krishnamacharyulu, C. S. G. and R. , Lalitha",Industrial Marketing,Jaico Publishing House ,2006,Management,Management,GENERAL,21
003008,"Mathur, B.L ",Money and Financial System ,Wide Vision ,2007,Management,Management,GENERAL,21
003009,"Swain, B K",Commercial banking in a Changing Scenario,Excel Books ,2006,Management,Management,GENERAL,21
003010,"Woodside, Arch G.",Market - driven Thinking: achieving Contextual Intelligence ,Butterworth - Heinemann ,2005,Management,Management,GENERAL,21
003011,"Cunningham, Mike",Smart Things to Know about E-Business,Capstone Publishing Limited ,2002,Management,Management,GENERAL,21
003012,"Thomas, Alan Berkeley","Controversies in Management Issues, Debates, Answers",Routledge,2003,Management,Management,GENERAL,21
003013,"Daymon, Christine and Holloway, Immy",Qualitative Research Methods in Public Relations and Marketing Communications ,Routledge,2002,Management,Management,GENERAL,21
003014,"Koch, Richard ",Financial Times Guide to Strategy : how to create and deliver a useful strategy ,Pearson Education,2000,Management,Management,GENERAL,21
003015,"Beckford, John ",Quality ,Routledge,2003,Management,Management,GENERAL,21
003016,"Mudgal, M.P ",Advanced Costing Problems ( A Model Approach ) ,Shree Niwas Publication ,2007,Management,Management,GENERAL,21
003017,"Molineux, Patrick",Exploiting CRM: Connecting with Customers,Hodder & Stoughton,2002,Management,Management,GENERAL,21
003018,"Stacey, Ralph D.; Griffin, Douglas and Shaw, Patricia",Complexity and Management : Fad or Radical Challenge to systems Thinking?,Routledge,2000,Management,Management,GENERAL,21
003019,"Tang, Jie & Ward Anthony ",Changing Face of Chinese Management ,Routledge,2003,Management,Management,GENERAL,21
003020,"Alexander, Gordon J ",Fundamentals of Investment ,Prentice Hall of India ,2006,Management,Management,GENERAL,21
003022,"Bodhanwala, Ruzbeh ",Undestanding and Analyzing Balance Sheets Using Excel Worksheet ,Prentice Hall of India ,2005,Management,Information Technology,GENERAL,21
003024,"Cvitanic, Jaksa and zapatero, Fernando",Introduction to the Economics and Mathematics of Financial Market,Prentice Hall of India ,2007,Management,Management,GENERAL,21
003026,"Haugen, Robert A.",Modern Investment Theory,Prentice Hall of India,2005,Management,Management,GENERAL,21
003027,"Marshall, John F and Bansal, Vipul K",Financial Engineering : A Complete Guide to Financial Innovation,Prentice Hall of India ,2007,Management,Management,GENERAL,21
003028,"Shapiro, Alan C ",Multinational Financial Management ,Prentice Hall of India ,2002,Management,Management,GENERAL,21
003030,"Turnovsky, Stephen J ",Methods of Macroeconomics Dynamics,Prentice Hall of India ,1997,Management,Management,GENERAL,21
003031,"Basu, Priya ",India's Financial Sector : Recent Reforms Future Challenges  ,Macmillan India Ltd.,2005,Management,Management,GENERAL,21
003033,"Dholakia, Bakul H ",Therory of Economic Growth and Technical Progress An Introduction ,Macmillan India Ltd.,1998,Management,Management,GENERAL,21
003034,"Gopalsamy, N ",Capital Market : The Indian Financial Scene ,Macmillan India Ltd.,2005,Management,Management,GENERAL,21
003036,"Kothari, Rajesh & Godha, Abhishek ",Management Accounting : Concept and Application ,Macmillan India Ltd.,2007,Management,Management,GENERAL,21
003038,"Nayyar, Rohini, Rajeev, Minakshi and Vyasulu, Vinod",Estimating District Income in India,Macmillan India Ltd.,2003,Management,Management,GENERAL,21
003039,"Parkinson, C Northcote ",All About Balance Sheets : The Easy Way,Macmillan India Ltd.,2000,Management,Management,GENERAL,21
003043,"Srinivasan, R ",New Indian Industry : Structure and Key Players ,Macmillan India Ltd.,2005,Management,Management,GENERAL,21
003045,"Xavier, Francis G",Self Study Text Business Accounting and Financial Analysis ,Macmillan India Ltd.,2000,Management,Management,GENERAL,21
003047,"yadav, Surendra ",Foreign Exchange Markets ,Macmillan India Ltd.,2001,Management,Management,GENERAL,21
003048,Indian Institute of Banking and Finance,Risk Management ,Macmillan India Ltd.,2005,Management,Management,GENERAL,21
003050,"Panneerselvam, R.",Operations Research ,Prentice Hall of India ,2006,Management,Management,GENERAL,21
003052,"Fabozzi, Frank J. and Modigliani, Franco",Capital Markets: Institutions and Instruments,Prentice Hall of India ,2006,Management,Management,GENERAL,21
003055,"Kalpan Robert S and Atkinson, Anthony A ",Advanced Management Accounting ,Prentice Hall of India ,2005,Management,Management,GENERAL,21
003057,"Hull, John C.","Options, Futures and Other Derivatives ",Prentice Hall of India ,2006,Management,Management,GENERAL,21
003059,"Gillett, Billy E ",Introduction to Operations Research : a computer oriented algorithmic approach ,Tata McGraw-Hill Publishing Company Limited ,2006,I.T.,Management,GENERAL,21
003060,"Hillier, frederick, Lieberman, Gerald",Operation Research: Concept and Cases,McGraw Hill Publishing Company Ltd ,2005,Management,Management,GENERAL,21
003062,"Hillier, Frederick S. and Hillier, Mark S. ",Introduction to Management Science ,Tata McGraw-Hill Publishing Company Limited ,2005,Management,Management,GENERAL,21
003064,Stevenson Williams ,Introduction to Management Science with Spreadsheets ,Tata McGraw-Hill Publishing Company Limited ,2007,Management,Management,GENERAL,21
003065,"Petersen, Craig H. and Lewis, W Cris",Managerial Economics,Pearson Education,1999,Management,Management,GENERAL,21
003066,"Taha, Hamdy A",Operation Research : An Introduction ,Pearson Education,2007,Management,Management,GENERAL,21
003067,"Hubbard, Glenn R ",Macroeconomics ,Pearson Education,2006,Management,Management,GENERAL,21
003070,"Mishkin, Frederic S ",Financial Markets + Institutions ,Pearson Education,2006,Management,Management,GENERAL,21
003072,"Jadhav, Narendra ",Challeges to Indian Banking ,Macmillan India Ltd.,1996,Management,Management,GENERAL,21
003073,"Bhattacharya, K.M ",Risk Management in Indian Banks ,Himalaya Publishing House ,2006,Management,Management,GENERAL,21
003074,"Phillips, Jack J ",Leadership Scorecard ,Butterworth - Heinemann ,2004,I.T.,Management,GENERAL,21
003075,"Rao, Aditham B.",Operations Research ,Jaico Publishing House ,2005,Management,Management,GENERAL,21
003076,"Forouzan, Behrouz A.",TCP / IP Protocol Suite ,Tata McGraw-Hill Publishing Company Limited ,2006,E & TC,Networking,C,19
003077,"Lathi, B.P ",Modern Digital and Analog Communication Systems ,Oxford University Press ,2005,E & TC,Digital/Analog Communication,C,2
003078,"Reddy, J.N ",Introduction to the Finite Elements Method ,Tata McGraw-Hill Publishing Company Limited ,2005,E & TC,Mathematics,I,1
003079,"Handa, A.",GATE: Compter Science and Engineering ,Satya Prakashan,2008,I.T.,Competitve Examinations,GENERAL,6
003080,"Green, Sharon Weiner",Barron's How to Prepare for The GRE,Galgotia Publishing Company,2005,I.T.,Competitve Examinations,GENERAL,6
003081,"Ramaswamy, V S and Namakumari, S ","Marketing Management: Planning, Implementaation & Control",Macmillan India Ltd.,2002,Management,Management,GENERAL,21
003083,"Ponniah, Paulraj",Data Warehousing Fundamentals: A Comprehensive Guide for IT Professionals ,John Wiley & Sons,2001,I.T.,Data Warehousing,C,28
003084,"Silberschatz, Abraham ",Database System Concepts ,McGraw Hill Publishing Company Ltd ,2006,Computer,Database Management,E,20
003086,"Aggarwal, R. S.",Quantitative Aptitude ,S. Chand & Company Ltd.,1989,I.T.,Competitive Examinations,GENERAL,6
003087,"Aggarwal, R. S. and Aggarwal, Vikas ","Objective General English: 10,000 Plus Questions ",S. Chand & Company Ltd.,1997,I.T.,English,GENERAL,10
003088,"Aggarwal, R.S.",Modern Approach To Verbal and Non-Verbal Reasoning,S. Chand & Company Ltd.,1994,I.T.,Competitive Examinations,GENERAL,6
003089,"Aggarwal, R.S ",Modern Approach to Logical Reasoning ,S. Chand & Company Ltd.,2006,I.T.,Competitive Examinations,GENERAL,6
003090,"Mason, Heidi ",Venture Imperative : a new model for corporate innovation ,Harvard Business School Press,2002,I.T.,Management,GENERAL,21
003091,"Bruner, Ross paul ",Global Equity Selection Strategies ,Glenlake Publishing Comp ,1998,Management,Management,GENERAL,21
003092,"Forsyth, Patrick",How to Write Report & Proposals ,Kogan Page India Pvt Ltd.,2006,I.T.,Management,GENERAL,21
003093,Young Trevor,Successful Project Management,The Sunday Times,2003,Management,Project Management,G,4
003094,Euromonitor International ,World Health Databook ,Euromonitor International ,2006,I.T.,Management,GENERAL,21
003095,Euromonitor International ,International Marketing Forecasts ,Euromonitor International ,2006,Management,Management,GENERAL,21
003096,"Luthans, Fred",Organizational Behavior,McGraw Hill Publishing Company Ltd ,2008,Management,Management,GENERAL,21
003097,"Hoffman, Douglas and Bateson, John",Services Marketing,Thomson Learning ,2006,Management,Management,GENERAL,21
003098,"Johansson, Johny",Global Marketing,McGraw Hill Publishing Company Ltd ,2006,Management,Management,GENERAL,21
003099,"Weihrich, Heinz; Cannice, Mark V. and Koontz, Harold",Management : A Global and Entrepreneurial Perspective,Tata McGraw-Hill Publishing Company Limited ,2008,Management,Management,GENERAL,21
003100,"Hill, Charles W. L. and McShane, Steven L.",Principles of Management,Tata McGraw-Hill Publishing Company Limited ,2008,Management,Management,GENERAL,21
003101,"Das, Satya P",Microeconomics for Business,Sage Publications ,2007,Management,Management,GENERAL,21
003102,"Zeithaml, valarie & pandit, ajay",Services Marketing,McGraw Hill Publishing Company Ltd ,2006,Management,Management,GENERAL,21
003103,"Machiraju, H R",Indian Financial System,Viva Books Pvt. Ltd.,2007,Management,Management,GENERAL,21
003104,"Womack, James P.",Machine that Changed the World : The Story of Lean Production,Harper Perennial ,1991,I.T.,Management,GENERAL,21
003105,"Brafman, Ori ",Starfish and the Spider ,Penguin Books ,2006,I.T.,Management,GENERAL,21
003106,ITSM Library,Frameworks for IT Management,Van Haren Publishing,2006,Management,Information Technology,GENERAL,21
003107,"Michael, Jack ",Technical Risk Management ,Prentice Hall PTR ,1996,Management,Management,GENERAL,21
003108,"Lathi, B P ",Modern Digital and Analog Communication Systems,Oxford University Press ,2006,E & TC,Digital/Analog Communication,C,2
003109,"Kotler, Philip ",Marketing Management ,Pearson Education,2007,Management,Management,GENERAL,21
003110,"Solomon, Michael R.","Consumer Behavior: Buying, Having, and Being ",Pearson Education,2004,Management,Management,GENERAL,21
003111,"Still, Richard R.; Cundiff, Edward W. and Govoni, Norman A P","Sales Management: Decisions, Strategies and Cases",Pearson Education,1998,Management,Management,GENERAL,21
003112,"Sengupta, Subroto",Brand Positioning: Strategies for Competitive advantage,Tata McGraw-Hill Publishing Company Limited ,2005,Management,Management,GENERAL,21
003113,"Langsam, Yedidyah ; Augenstein, Moshe J. and Tenenbaum, Aaron M.",Data Structures Using C and C++,Prentice Hall of India ,2004,Computer,Data Structures,E,12
003114,"Gottorna, John",Living Supply Chains : How to Mobilize the enterprise around delivering what your customers want ,Prentice Hall ,2006,Management,Management,GENERAL,21
003115,"Hahnel, Robin",ABCs of Political Economy : a Modern Approach,Viva Books Pvt. Ltd.,2007,Management,Management,GENERAL,21
